Relative Time (s),src IP,dst IP,IP protocol,TCP src port,TCP dst port,UDP src port,UDP dst port,Frame Length
15.25103018,IP A,IP B,6,6138,443,,,66
15.2569569,IP C,IP B,6,50984,443,,,200
15.25722731,IP A,IP B,17,,,6233,10000,106
15.25748527,IP C,IP B,6,50984,443,,,200
15.25773404,IP C,IP B,6,50984,443,,,228
15.25777157,IP B,IP C,6,443,50984,,,160
15.25798457,IP B,IP C,6,443,50984,,,160
15.25929334,IP C,IP B,6,50984,443,,,66
15.2594926,IP C,IP B,6,50984,443,,,66
15.26432,IP A,IP B,6,6234,443,,,66
15.27404896,IP B,IP A,17,,,10000,6233,158
15.276215,IP C,IP B,6,50986,443,,,200
15.27625406,IP C,IP B,6,50986,443,,,220
15.27628951,IP B,IP C,6,443,50986,,,66
15.27689678,IP B,IP C,6,443,50986,,,160
15.27950532,IP C,IP B,6,50986,443,,,66
15.28674863,IP B,IP A,6,22,8864,,,110
15.28747422,IP C,IP B,6,50986,443,,,200
15.28772377,IP B,IP C,6,443,50986,,,160
15.30723187,IP C,IP B,6,50984,443,,,228
15.32167608,IP A,IP B,17,,,6233,10000,106
15.32468372,IP B,IP A,17,,,10000,6233,131
15.3248065,IP C,IP B,6,50986,443,,,220
15.32516205,IP B,IP A,17,,,10000,6233,400
15.326036,IP B,IP A,17,,,10000,6233,178
15.3261007,IP B,IP A,17,,,10000,6233,77
15.32611936,IP B,IP A,17,,,10000,6233,67
15.32616769,IP B,IP A,17,,,10000,6233,131
15.32618651,IP B,IP A,17,,,10000,6233,400
15.32619589,IP B,IP A,17,,,10000,6233,178
15.32620409,IP B,IP A,17,,,10000,6233,77
15.32622135,IP B,IP A,17,,,10000,6233,67
15.32947408,IP B,IP A,17,,,10000,6233,158
15.34773006,IP A,IP B,17,,,6233,10000,201
15.34788037,IP B,IP A,17,,,10000,6233,131
15.34790904,IP B,IP C,6,443,50984,,,66
15.34795228,IP B,IP A,17,,,10000,6233,400
15.34796769,IP B,IP A,17,,,10000,6233,178
15.34798117,IP B,IP A,17,,,10000,6233,77
15.34799081,IP B,IP A,17,,,10000,6233,67
15.35845314,IP A,IP B,6,8864,22,,,66
15.36432703,IP C,IP B,6,50986,443,,,196
15.36434064,IP B,IP C,6,443,50986,,,66
15.36446327,IP C,IP B,6,50986,443,,,66
15.36508828,IP B,IP C,6,443,50986,,,66
15.36770598,IP C,IP B,6,50986,443,,,66
15.3759878,IP A,IP B,17,,,6233,10000,106
15.37600269,IP A,IP B,17,,,6233,10000,589
15.37858014,IP B,IP A,17,,,10000,6233,56
15.3786073,IP B,IP A,17,,,10000,6233,103
15.42793208,IP A,IP B,6,6138,443,,,139
15.4281183,IP B,IP A,6,443,6138,,,101
15.42854514,IP A,IP B,6,6138,443,,,909
15.42878915,IP A,IP B,17,,,6233,10000,123
15.42989798,IP B,IP A,6,443,6138,,,2922
15.42990674,IP B,IP A,6,443,6138,,,2922
15.42994935,IP B,IP A,6,443,6138,,,2576
15.4304363,IP B,IP A,17,,,10000,6233,435
15.45060837,IP A,IP B,17,,,6233,10000,110
15.45812623,IP C,IP B,6,48018,443,,,2962
15.45816024,IP B,IP C,6,443,48018,,,66
15.45818686,IP C,IP B,6,48018,443,,,79
15.45847253,IP B,IP C,6,443,48018,,,101
15.45991287,IP C,IP B,6,48018,443,,,66
15.46029564,IP B,IP C,6,443,48018,,,1444
15.46176836,IP C,IP B,6,48018,443,,,66
15.46695674,IP A,IP B,6,6138,443,,,66
15.46721321,IP A,IP B,17,,,6233,10000,112
15.46911535,IP A,IP B,6,6138,443,,,66
15.46912369,IP A,IP B,6,6138,443,,,66
15.46912707,IP A,IP B,6,6138,443,,,66
15.46948201,IP A,IP B,6,6138,443,,,66
15.48029604,IP A,IP B,17,,,6233,10000,771
15.48088529,IP B,IP A,17,,,10000,6233,111
15.48573958,IP B,IP A,17,,,10000,6233,111
15.4860293,IP B,IP A,17,,,10000,6233,199
15.48629682,IP A,IP B,17,,,6233,10000,113
15.51068922,IP A,IP B,17,,,6233,10000,113
15.52778334,IP A,IP B,17,,,6233,10000,113
15.52779362,IP A,IP B,17,,,6233,10000,171
15.53276609,IP A,IP B,17,,,6233,10000,107
15.54825459,IP A,IP B,17,,,6233,10000,113
15.57129455,IP A,IP B,17,,,6233,10000,113
15.58664672,IP A,IP B,17,,,6233,10000,82
15.58666557,IP A,IP B,17,,,6233,10000,82
15.5878013,IP A,IP B,17,,,6233,10000,113
15.61629025,IP C,IP B,6,48018,443,,,725
15.61661469,IP B,IP C,6,443,48018,,,101
15.61765356,IP B,IP C,6,443,48018,,,582
15.61810624,IP C,IP B,6,48018,443,,,66
15.61919526,IP C,IP B,6,48018,443,,,66
15.63883252,IP A,IP B,6,6138,443,,,140
15.63886903,IP A,IP B,6,6138,443,,,862
15.63889589,IP B,IP A,6,443,6138,,,66
15.63907127,IP B,IP A,6,443,6138,,,101
15.63942507,IP A,IP B,17,,,6233,10000,223
15.64019295,IP B,IP A,6,443,6138,,,2673
15.64082394,IP B,IP A,17,,,10000,6233,107
15.64751338,IP A,IP B,17,,,6233,10000,113
15.64834214,IP A,IP B,17,,,6233,10000,113
